origen;destino;nombre_transportista;total_viajes;codigo;codigo_referencia;direccion;ciudad;provincia;pais;nif;telefono;telefono_movil;email;adr;completo
BARCELONA;BARCELONA;TRANSFONT S.L.;;;;;;;;;;933362697;transfont@transfont.com;;
VALENCIA;VALLADOLID;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
VALENCIA;VALENCIA;SEBASTIAN ORTEGA PEREZ;;;;;;;;;;677477987;sebas.ortega.perez@gmail.com;;
BARCELONA;BARCELONA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
VALENCIA;VALENCIA;VICENTE ROS PANACH;;;;;;;;;;963657147;transportespanach@gmail.com;;
VALENCIA;ALBACETE;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
VALENCIA;VALENCIA;VELOCITY TRANSINTERNACIONAL S.L.;;;;;;;;;;961977960;trafico@transportevelocity.com;;
VALENCIA;ALICANTE;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
ZARAGOZA;VALENCIA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
ALMERIA;VALENCIA;TRANSPORTES GUERRERO 96 S.L.;;;;;;;;;;902301059;sandra@transportesguerrero.es;;
VALENCIA;VALENCIA;PARRA SANJUAN JUAN ANTONIO;;;;;;;;;;653279509;parrajuan2001.jp@gmail.com;;
MADRID ;BARCELONA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
MURCIA;VALENCIA;TRANSPORTES GUERRERO 96 S.L.;;;;;;;;;;902301059;sandra@transportesguerrero.es;;
LERIDA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;MADRID;GLOBAL ARION LOGISTICS S.L.;;;;;;;;;;617166500;trafico@globalarion.com;;
VALENCIA;BADAJOZ;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
VALENCIA;MURCIA;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
MADRID;MADRID;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
GUADALAJARA;BARCELONA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
CADIZ;SEVILLA;TRANSPORTES MOYA LOGISTICA INTEGRAL SL;;;;;;;;;;608553000;luis.m.moya.v@gmail.com;;
ALICANTE;VALENCIA;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
MADRID;TOLEDO;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
VALENCIA;VALENCIA;TRANS JOAQUIN BUENDIA S.L.U.;;;;;;;;;;961514924;info@transjbuendia.com;;
CACERES;VALENCIA;HIDALGO GALLARDO BENITO;;;;;;;;;;924824092;transhidal@gmail.com;;
CANTABRIA;CANTABRIA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
