origen,destino,nombre_transportista,total_viajes,codigo,codigo_referencia,direccion,ciudad,provincia,pais,nif,telefono,telefono_movil,email,adr,completo
VALENCIA,VALENCIA,PARRA SANJUAN  JUAN ANTONIO,1848,,,,,,,,,,parrajuan2001.jp@gmail.com,,
VALENCIA,VALENCIA,SALVADOR POVEDA VALLET,246,,,,,,,,,,,,
BARCELONA,BARCELONA,CUALDE LOGISTICS  S.L.U.,568,,,,,,,,,,trafico@cualde.com,,
BARCELONA,BARCELONA,TRANSFONT  S.L.,1756,,,,,,,,,,transfont@transfont.com,,
BARCELONA,BARCELONA,TRANSPORTES RICARDO MARTINEZ  S.A.,213,,,,,,,,,,transports@transricardomartinez.com,,
BARCELONA,BARCELONA,VERDET CARRATALA  S.A.,237,,,,,,,,,,vercasa@vercasa.net,,
BARCELONA,BARCELONA ,CUALDE LOGISTICS  S.L.U.,568,,,,,,,,,,trafico@cualde.com,,
BARCELONA,BARCELONA ,TRANSFONT  S.L.,1756,,,,,,,,,,transfont@transfont.com,,
BARCELONA,BARCELONA ,TRANSPORTES RICARDO MARTINEZ  S.A.,213,,,,,,,,,,transports@transricardomartinez.com,,
BARCELONA,BARCELONA,CUALDE LOGISTICS  S.L.U.,568,,,,,,,,,,trafico@cualde.com,,
BARCELONA,BARCELONA,TRANSPORTES RICARDO MARTINEZ  S.A.,213,,,,,,,,,,transports@transricardomartinez.com,,
BARCELONA,BARCELONA,TRANSFONT  S.L.,1756,,,,,,,,,,transfont@transfont.com,,
VALENCIA,VALENCIA,VERDET CARRATALA  S.A.,237,,,,,,,,,,vercasa@vercasa.net,,
MADRID,ALAVA,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
MADRID,ALAVA,ENRIQUE MIGUEL CAMARERO,78,,,,,,,,,,miguel@servicioslogisticos.net,,
ALAVA,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
ALAVA,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
ALBACETE,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
ALBACETE,MADRID,SIMON ALMANSA  S.L. - TTES.SIMON,171,,,,,,,,,,b.saez@transportessimon.com,,
ALBACETE,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
ALBACETE,MADRID,TRANSPORTES FERNANDEZ  S.L.U.,200,,,,,,,,,,carmen@transportesfernandez.es,,
MADRID,ALICANTE,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
MADRID,ALICANTE,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
MADRID,ALICANTE,MULTISERVICIOS EXPRESS  S.L.,1684,,,,,,,,638776748,,trafico.gestion@multiserviciosexpress.es,,
MADRID,ALICANTE,EMDIPA S.L,1093,,,,,,,,,,ops.mad@emdipa.com,,
MADRID,ALICANTE,VELOCITY TRANSINTERNACIONAL  S.L.,491,,,,,,,,656388570,,trafico@transportevelocity.com,,
ALICANTE,MADRID,MULTISERVICIOS EXPRESS  S.L.,1684,,,,,,,,638776748,,trafico.gestion@multiserviciosexpress.es,,
ALICANTE,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
ALICANTE,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
ALMERIA,MADRID,TRANSPORTES GUERRERO 96  S.L.,203,,,,,,,,696443003,,sandra@transportesguerrero.es,,
ALMERIA,MADRID,BUYAGUI LOGISTICA  S.L.,2114,,,,,,,,,,,,
ALMERIA,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
ALMERIA,MADRID,LOGISTICA DALUC  S.L.,2344,,,,,,,,,,administracion@logisticadaluc.com,,
ALMERIA,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
ASTURIAS,MADRID,GUTTRANS S.L,99,,,,,,,,,,info@guttrans.com,,
ASTURIAS,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
ASTURIAS,MADRID,AGENCIA TRANSPORTES ROBLEDO  S.L.,643,,,,,,,,676 33 98 59 ,,asturias@robledologistics.com,SI,SI
ASTURIAS,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
BADAJOZ,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
MADRID,BURGOS,FERNANDEZ RODRIGUEZ CARLOS,1798,,,,,,,,,,,,
MADRID,BURGOS,REDRAPID BALEAR  S.L.(LOGISTICS ROTGER),2278,,,,,,,,,,jcnunez@logisticsrotger.com,,
BURGOS,MADRID,RUBEN PESCADOR PALACIN,604,,,,,,,,,,,,
BURGOS,MADRID,ENLAZA PLATAFORMA VALENCIA  S.L.U.,290,,,,,,,,661668572,,RECOGIDAS@PBXVALENCIACOM,,
BURGOS,MADRID,JUAN BENITO DEL RIO HERNANDEZ,535,,,,,,,,,,santi.rio@hotmail.com,,
BURGOS,MADRID,TRANSPORTES IRUÑA  S.A.,206,,,,,,,,,,juanjo@transportesiruna.com,,
BURGOS,MADRID,CESAR MANUEL DIAZ LOPEZ,1970,,,,,,,,,,cesarmanuel_diaz@hotmail.com,,
BURGOS,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
BURGOS,MADRID,REDRAPID BALEAR  S.L.(LOGISTICS ROTGER),2278,,,,,,,,,,jcnunez@logisticsrotger.com,,
BURGOS,MADRID,HERNANDO GIL GUSTAVO,1053,,,,,,,,609430155,,gushergil2@hotmail.es,,
BURGOS,MADRID,ELENA ALONSO BARRIO,2429,,,,,,,,,,,,
MADRID,CACERES,ENLAZA PLATAFORMA VALENCIA  S.L.U.,290,,,,,,,,661668572,,RECOGIDAS@PBXVALENCIACOM,,
MADRID,CACERES,ACOSTA GOMEZ ANTONIO,1409,,,,,,,,,,antonioysaratrans@hotmail.com,,
MADRID,CACERES,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
MADRID,CACERES,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
CACERES,MADRID,TRANSPORTES TRANMOLA SL,2094,,,,,,,,,,,,
CACERES,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
CACERES,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
MADRID,CANTABRIA,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
CANTABRIA,MADRID,RIOJA PALET EXPRES  S.L.,308,,,,,,,,,,comercial@sainztransportes.com,,
CANTABRIA,MADRID,ENLAZA PLATAFORMA VALENCIA  S.L.U.,290,,,,,,,,661668572,,RECOGIDAS@PBXVALENCIACOM,,
CANTABRIA,MADRID,COOPERATIVA CANTABRA DE TRANSPORTES,56,,,,,,,,,,cocantra@cocantra.com,,
CANTABRIA,MADRID,GRUPO TRANSAHER  S.L.,683,,,,,,,,,,recogidas.valencia@transaher.es,,
